time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-22T12:36:45.866Z,38.1392,-117.996,3.4,1.1,ml,9,140.44,0.029,0.048,nn,nn00835756,2022-03-22T12:40:59.842Z,"29 km SSE of Mina, Nevada",earthquake,,0.6,0.38,5,automatic,nn,nn
2022-03-22T12:35:57.910Z,17.9866666666667,-66.8588333333333,12.47,1.98,md,5,169,,0.07,pr,pr71341363,2022-03-22T13:03:25.030Z,"3 km SSE of Palomas, Puerto Rico",earthquake,1.04,0.42,0.141660391725302,6,reviewed,pr,pr
2022-03-22T12:35:34.080Z,38.833168,-122.8144989,2.42,0.85,md,12,61,0.01035,0.04,nc,nc73708766,2022-03-22T13:28:18.711Z,"8km NW of The Geysers, CA",earthquake,0.35,0.75,,1,automatic,nc,nc
2022-03-22T12:28:54.635Z,38.137,-117.999,2.9,0.8,ml,9,142,0.031,0.0408,nn,nn00835755,2022-03-22T12:32:50.252Z,"29 km SSE of Mina, Nevada",earthquake,,0.7,0.09,4,automatic,nn,nn
2022-03-22T12:21:18.560Z,19.1644992828369,-155.47200012207,32.439998626709,2.54,ml,45,157,,0.119999997,hv,hv72959042,2022-03-22T12:26:49.150Z,"4 km S of Pāhala, Hawaii",earthquake,0.61,0.810000002,2.43,13,automatic,hv,hv
2022-03-22T12:20:36.690Z,38.8180008,-122.7956696,2.38,0.99,md,21,53,0.01002,0.03,nc,nc73708761,2022-03-22T13:02:16.566Z,"6km NW of The Geysers, CA",earthquake,0.23,0.62,0.23,2,automatic,nc,nc
2022-03-22T12:13:15.726Z,63.3399,-145.5496,19.5,1.2,ml,,,,1.11,ak,ak0223q5r4sq,2022-03-22T12:22:25.211Z,"28 km N of Paxson, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-03-22T12:09:45.640Z,19.203332901001,-155.433670043945,33.3800010681152,1.95000005,md,37,136,,0.109999999,hv,hv72959037,2022-03-22T12:12:48.860Z,"4 km E of Pāhala, Hawaii",earthquake,0.68,0.810000002,0.74000001,7,automatic,hv,hv
2022-03-22T12:06:29.590Z,33.4791667,-116.514,12.21,0.71,ml,18,56,0.07587,0.15,ci,ci39974215,2022-03-22T12:10:04.543Z,"17km ESE of Anza, CA",earthquake,0.28,0.61,0.174,15,automatic,ci,ci
2022-03-22T12:05:41.570Z,19.216667175293,-155.503494262695,33.3400001525879,2.27999997,md,41,136,,0.100000001,hv,hv72959032,2022-03-22T12:08:56.860Z,"3 km WNW of Pāhala, Hawaii",earthquake,0.55,0.839999974,0.930000007,16,automatic,hv,hv
2022-03-22T12:00:29.640Z,38.8349991,-122.81633,1.86,0.85,md,10,82,0.01258,0.01,nc,nc73708751,2022-03-22T12:02:06.000Z,"8km W of Cobb, CA",earthquake,0.33,1.17,,1,automatic,nc,nc
2022-03-22T12:00:12.330Z,35.8163338,-121.5111694,0.17,2.94,md,53,197,0.3032,0.23,nc,nc73708746,2022-03-22T15:34:23.651Z,"23km SSE of Lopez Point, CA",earthquake,0.72,2.97,0.08,49,automatic,nc,nc
2022-03-22T11:59:40.570Z,33.4716682,-116.5326691,12.24,3.28,ml,109,20,0.06314,0.2,ci,ci39974207,2022-03-22T14:14:26.464Z,"16km SE of Anza, CA",earthquake,0.18,0.41,0.184,14,automatic,ci,ci
2022-03-22T11:58:00.920Z,17.9828333333333,-66.993,5.99,1.48,md,4,174,,0.26,pr,pr71341358,2022-03-22T12:39:49.950Z,"5 km E of La Parguera, Puerto Rico",earthquake,1.28,2.1,0.0880963758780791,4,reviewed,pr,pr
2022-03-22T11:56:29.380Z,33.4755,-116.5286667,11.76,1.56,ml,55,31,0.06498,0.22,ci,ci39974199,2022-03-22T12:07:00.780Z,"16km ESE of Anza, CA",earthquake,0.23,0.52,0.212,26,automatic,ci,ci
2022-03-22T11:55:40.830Z,33.4775,-116.52,12.78,1.14,ml,34,55,0.07138,0.2,ci,ci39974191,2022-03-22T11:59:32.719Z,"17km ESE of Anza, CA",earthquake,0.24,0.54,0.17,27,automatic,ci,ci
2022-03-22T11:53:49.610Z,33.4798333,-116.5126667,14.15,1.07,ml,28,56,0.07682,0.14,ci,ci39974183,2022-03-22T11:57:26.455Z,"17km ESE of Anza, CA",earthquake,0.2,0.4,0.148,26,automatic,ci,ci
2022-03-22T11:51:33.490Z,45.435,-112.0958333,5.2,1.29,ml,20,57,0.205,0.19,mb,mb80541184,2022-03-22T14:02:48.980Z,"8 km ESE of Sheridan, Montana",earthquake,0.37,1.95,0.065,11,reviewed,mb,mb
2022-03-22T11:47:27.730Z,18.2125,-67.848,2.15,3.11,md,9,185,,0.15,pr,pr71341338,2022-03-22T12:16:39.550Z,"64 km W of Stella, Puerto Rico",earthquake,0.88,0.58,0.175698384906979,4,reviewed,pr,pr
2022-03-22T11:45:29.780Z,32.681,-115.7615,7.62,1.58,ml,24,105,0.0433,0.26,ci,ci39974175,2022-03-22T11:56:41.780Z,"20km NW of Progreso, B.C., MX",earthquake,0.53,0.98,0.152,23,automatic,ci,ci
2022-03-22T11:37:41.750Z,18.0026666666667,-67.02,9.83,2.16,md,7,114,,0.11,pr,pr71341313,2022-03-22T12:27:01.520Z,"4 km NE of La Parguera, Puerto Rico",earthquake,0.45,0.86,0.0724222313606209,3,reviewed,pr,pr
2022-03-22T11:37:12.511Z,-17.8026,-178.624,538.37,4.2,mb,,116,3.167,0.48,us,us6000h6lz,2022-03-22T13:33:46.040Z,"220 km E of Levuka, Fiji",earthquake,13.1,9.9,0.063,69,reviewed,us,us
2022-03-22T11:26:45.360Z,18.039,-66.888,7.34,2.06,md,6,150,,0.44,pr,pr71341368,2022-03-22T12:54:57.840Z,"1 km E of Lluveras, Puerto Rico",earthquake,1.35,0.73,0.00884773122712401,3,reviewed,pr,pr
2022-03-22T11:12:13.300Z,37.5306667,-118.8278333,9.01,0.87,md,17,113,0.05927,0.02,nc,nc73708736,2022-03-22T15:30:30.167Z,"14km WSW of Toms Place, CA",earthquake,0.36,1,0.089,15,reviewed,nc,nc
2022-03-22T11:04:29.758Z,63.775,-147.7189,0,1.5,ml,,,,1.11,ak,ak0223q53ssq,2022-03-22T11:27:30.170Z,"59 km E of Denali Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-03-22T10:59:42.240Z,19.1958332061768,-155.481002807617,35.3499984741211,2.18000007,md,44,82,,0.100000001,hv,hv72958967,2022-03-22T11:02:57.410Z,"0 km SSW of Pāhala, Hawaii",earthquake,0.55,0.75999999,1.45000005,22,automatic,hv,hv
2022-03-22T10:59:10.070Z,38.7953339,-122.7511673,1.24,0.6,md,8,135,0.008514,0.04,nc,nc73708731,2022-03-22T11:31:12.991Z,"2km NNE of The Geysers, CA",earthquake,0.75,0.76,0.27,2,automatic,nc,nc
2022-03-22T10:56:10.230Z,34.87366667,-97.744,9.14,1.77,ml,63,37,0.1088786343,0.29,ok,ok2022fqzx,2022-03-22T12:29:45.562Z,"3 km W of Bradley, Oklahoma",earthquake,,1.7,0.24,29,reviewed,ok,ok
2022-03-22T10:42:25.750Z,33.8991667,-117.852,3.19,1.1,ml,31,55,0.07538,0.28,ci,ci39974159,2022-03-22T10:59:18.315Z,"3km NNE of Placentia, CA",earthquake,0.44,0.79,0.155,27,automatic,ci,ci
2022-03-22T10:35:57.640Z,44.4791667,-115.2253333,5.68,1.77,ml,7,137,0.821,0.22,mb,mb80541179,2022-03-22T14:18:31.810Z,"36 km NW of Stanley, Idaho",earthquake,0.77,1.63,0.302,9,reviewed,mb,mb
2022-03-22T10:33:38.470Z,34.0514984,-117.5636673,7.33,3.38,ml,102,25,0.04057,0.24,ci,ci39974135,2022-03-22T15:35:51.743Z,"6km E of Ontario, CA",earthquake,0.25,0.6,0.265,15,automatic,ci,ci
2022-03-22T10:31:41.080Z,35.7988333,-117.6303333,6.57,1.29,ml,18,84,0.03157,0.15,ci,ci39974119,2022-03-22T10:42:18.660Z,"20km NNE of Ridgecrest, CA",earthquake,0.24,0.54,0.145,17,automatic,ci,ci
2022-03-22T10:11:10.780Z,17.9771666666667,-66.9873333333333,10.94,1.88,md,3,171,,0.02,pr,pr71341303,2022-03-22T10:19:39.920Z,"6 km E of La Parguera, Puerto Rico",earthquake,2.06,0.76,0.0442530271338639,3,reviewed,pr,pr
2022-03-22T10:11:01.870Z,34.342,-118.4861667,8.51,1.26,ml,16,216,0.03665,0.2,ci,ci39974111,2022-03-22T10:14:31.823Z,"5km NW of Sylmar, CA",earthquake,0.6,0.72,0.168,28,automatic,ci,ci
2022-03-22T10:09:41.320Z,38.8388329,-122.8376694,0.9,1.51,md,22,83,0.01583,0.05,nc,nc73708716,2022-03-22T10:40:13.684Z,"10km NW of The Geysers, CA",earthquake,0.19,0.51,0.1,6,automatic,nc,nc
2022-03-22T10:07:17.180Z,37.4263333,-112.9508333,2.73,1.22,ml,6,216,0.1557,0.08,uu,uu60486637,2022-03-22T14:49:26.370Z,"24 km ESE of Kanarraville, Utah",earthquake,1.1,1.34,0.183,3,reviewed,uu,uu
2022-03-22T10:04:04.990Z,35.9161667,-117.6916667,2.55,1.06,ml,16,67,0.0461,0.17,ci,ci39974103,2022-03-22T10:07:33.776Z,"20km E of Little Lake, CA",earthquake,0.39,0.56,0.118,13,automatic,ci,ci
2022-03-22T09:49:40.570Z,17.9866666666667,-66.8556666666667,12.39,2.9,md,29,136,,0.2,pr,pr71341298,2022-03-22T10:13:06.330Z,"Puerto Rico region",earthquake,0.41,0.25,0.162288078648911,18,reviewed,pr,pr
2022-03-22T09:34:34.840Z,46.9491667,-112.696,11.89,1.05,ml,13,92,0.028,0.17,mb,mb80541199,2022-03-22T14:40:24.630Z,"1 km WSW of Lincoln, Montana",earthquake,0.56,0.55,0.133,5,reviewed,mb,mb
2022-03-22T09:28:45.400Z,17.1625,-68.232,57,3.97,md,23,258,1.3595,0.54,pr,pr2022081001,2022-03-22T09:51:23.929Z,"140 km SSE of Boca de Yuma, Dominican Republic",earthquake,3.35,10.75,0.1,7,reviewed,pr,pr
